Sector,Year,FDI(₹ Crores),FDI(US$ Million)
MINING,2004-05,44.57,9.92
POWER,2004-05,194.86,43.37
NON-CONVENTIONAL ENERGY,2004-05,5.71,1.27
COAL PRODUCTION,2004-05,0.0,0.0
PETROLEUM & NATURAL GAS,2004-05,461.79,102.78
BOILERS AND STEAM GENERATING PLANTS,2004-05,2.43,0.54
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2004-05,11.95,2.66
ELECTRICAL EQUIPMENTS,2004-05,437.62,97.4
COMPUTER SOFTWARE & HARDWARE,2004-05,2371.85,527.9
ELECTRONICS,2004-05,395.83,88.1
TELECOMMUNICATIONS,2004-05,531.66,118.33
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2004-05,44.26,9.85
AUTOMOBILE INDUSTRY,2004-05,548.01,121.97
AIR TRANSPORT (INCLUDING AIR FREIGHT),2004-05,18.47,4.11
SEA TRANSPORT,2004-05,166.02,36.95
PORTS,2004-05,58.59,13.04
RAILWAY RELATED COMPONENTS,2004-05,48.3,10.75
INDUSTRIAL MACHINERY,2004-05,39.94,8.89
MACHINE TOOLS,2004-05,49.6,11.04
AGRICULTURAL MACHINERY,2004-05,0.0,0.0
EARTH-MOVING MACHINERY,2004-05,0.45,0.1
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2004-05,57.65,12.83
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2004-05,63.49,14.13
MEDICAL AND SURGICAL APPLIANCES,2004-05,24.04,5.35
INDUSTRIAL INSTRUMENTS,2004-05,4.85,1.08
SCIENTIFIC INSTRUMENTS,2004-05,0.13,0.03
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2004-05,0.0,0.0
FERTILIZERS,2004-05,60.48,13.46
CHEMICALS (OTHER THAN FERTILIZERS),2004-05,311.77,69.39
PHOTOGRAPHIC RAW FILM AND PAPER,2004-05,27.68,6.16
DYE-STUFFS,2004-05,5.3,1.18
DRUGS & PHARMACEUTICALS,2004-05,1318.07,293.36
"TEXTILES (INCLUDING DYED,PRINTED)",2004-05,193.38,43.04
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2004-05,12.13,2.7
SUGAR,2004-05,13.21,2.94
FERMENTATION INDUSTRIES,2004-05,624.53,139.0
FOOD PROCESSING INDUSTRIES,2004-05,197.6,43.98
VEGETABLE OILS AND VANASPATI,2004-05,40.84,9.09
"SOAPS, COSMETICS & TOILET PREPARATIONS",2004-05,4.0,0.89
RUBBER GOODS,2004-05,179.99,40.06
"LEATHER,LEATHER GOODS AND PICKERS",2004-05,1.98,0.44
GLUE AND GELATIN,2004-05,0.0,0.0
GLASS,2004-05,37.56,8.36
CERAMICS,2004-05,120.37,26.79
CEMENT AND GYPSUM PRODUCTS,2004-05,0.72,0.16
TIMBER PRODUCTS,2004-05,0.31,0.07
DEFENCE INDUSTRIES,2004-05,0.22,0.05
CONSULTANCY SERVICES,2004-05,1134.12,252.42
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2004-05,2049.48,456.15
HOSPITAL & DIAGNOSTIC CENTRES,2004-05,117.67,26.19
EDUCATION,2004-05,8.85,1.97
HOTEL & TOURISM,2004-05,166.29,37.01
TRADING,2004-05,63.89,14.22
RETAIL TRADING,2004-05,0.0,0.0
AGRICULTURE SERVICES,2004-05,17.21,3.83
"DIAMOND,GOLD ORNAMENTS",2004-05,38.55,8.58
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2004-05,0.04,0.01
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2004-05,0.27,0.06
COIR,2004-05,2.11,0.47
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2004-05,0.0,0.0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2004-05,683.21,152.06
MISCELLANEOUS INDUSTRIES,2004-05,547.38,121.83
METALLURGICAL INDUSTRIES,2005-06,660.2,149.13
MINING,2005-06,32.76,7.4
POWER,2005-06,321.8,72.69
NON-CONVENTIONAL ENERGY,2005-06,5.98,1.35
COAL PRODUCTION,2005-06,40.46,9.14
PETROLEUM & NATURAL GAS,2005-06,53.52,12.09
BOILERS AND STEAM GENERATING PLANTS,2005-06,0.0,0.0
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2005-06,3.28,0.74
ELECTRICAL EQUIPMENTS,2005-06,174.87,39.5
COMPUTER SOFTWARE & HARDWARE,2005-06,6020.59,1359.97
ELECTRONICS,2005-06,181.11,40.91
TELECOMMUNICATIONS,2005-06,2735.8,617.98
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2005-06,247.6,55.93
AUTOMOBILE INDUSTRY,2005-06,619.47,139.93
AIR TRANSPORT (INCLUDING AIR FREIGHT),2005-06,45.47,10.27
SEA TRANSPORT,2005-06,237.42,53.63
PORTS,2005-06,2.21,0.5
RAILWAY RELATED COMPONENTS,2005-06,100.14,22.62
INDUSTRIAL MACHINERY,2005-06,189.48,42.8
MACHINE TOOLS,2005-06,101.82,23.0
AGRICULTURAL MACHINERY,2005-06,410.43,92.71
EARTH-MOVING MACHINERY,2005-06,225.2,50.87
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2005-06,226.75,51.22
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2005-06,113.07,25.54
MEDICAL AND SURGICAL APPLIANCES,2005-06,6.73,1.52
INDUSTRIAL INSTRUMENTS,2005-06,1.68,0.38
SCIENTIFIC INSTRUMENTS,2005-06,0.44,0.1
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2005-06,0.0,0.0
FERTILIZERS,2005-06,18.77,4.24
CHEMICALS (OTHER THAN FERTILIZERS),2005-06,1716.44,387.72
PHOTOGRAPHIC RAW FILM AND PAPER,2005-06,0.0,0.0
DYE-STUFFS,2005-06,0.0,0.0
DRUGS & PHARMACEUTICALS,2005-06,763.39,172.44
"TEXTILES (INCLUDING DYED,PRINTED)",2005-06,417.6,94.33
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2005-06,121.21,27.38
SUGAR,2005-06,13.28,3.0
FERMENTATION INDUSTRIES,2005-06,751.84,169.83
FOOD PROCESSING INDUSTRIES,2005-06,184.78,41.74
VEGETABLE OILS AND VANASPATI,2005-06,54.5,12.31
"SOAPS, COSMETICS & TOILET PREPARATIONS",2005-06,387.01,87.42
RUBBER GOODS,2005-06,150.92,34.09
"LEATHER,LEATHER GOODS AND PICKERS",2005-06,4.91,1.11
GLUE AND GELATIN,2005-06,0.0,0.0
GLASS,2005-06,3.59,0.81
CERAMICS,2005-06,25.1,5.67
CEMENT AND GYPSUM PRODUCTS,2005-06,2001.36,452.08
TIMBER PRODUCTS,2005-06,1.46,0.33
DEFENCE INDUSTRIES,2005-06,0.0,0.0
CONSULTANCY SERVICES,2005-06,209.84,47.4
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2005-06,2428.7,548.61
HOSPITAL & DIAGNOSTIC CENTRES,2005-06,144.01,32.53
EDUCATION,2005-06,13.99,3.16
HOTEL & TOURISM,2005-06,317.77,71.78
TRADING,2005-06,128.07,28.93
RETAIL TRADING,2005-06,0.0,0.0
AGRICULTURE SERVICES,2005-06,40.2,9.08
"DIAMOND,GOLD ORNAMENTS",2005-06,68.71,15.52
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2005-06,6.33,1.43
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2005-06,43.83,9.9
COIR,2005-06,2.61,0.59
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2005-06,4.12,0.93
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2005-06,1012.5,228.71
MISCELLANEOUS INDUSTRIES,2005-06,729.39,164.76
METALLURGICAL INDUSTRIES,2006-07,768.81,169.94
MINING,2006-07,29.95,6.62
POWER,2006-07,710.95,157.15
NON-CONVENTIONAL ENERGY,2006-07,11.04,2.44
COAL PRODUCTION,2006-07,5.88,1.3
PETROLEUM & NATURAL GAS,2006-07,396.8,87.71
BOILERS AND STEAM GENERATING PLANTS,2006-07,14.97,3.31
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2006-07,115.68,25.57
ELECTRICAL EQUIPMENTS,2006-07,347.67,76.85
COMPUTER SOFTWARE & HARDWARE,2006-07,11822.7,2613.33
ELECTRONICS,2006-07,190.64,42.14
TELECOMMUNICATIONS,2006-07,2155.73,476.51
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2006-07,342.47,75.7
AUTOMOBILE INDUSTRY,2006-07,1179.5,260.72
AIR TRANSPORT (INCLUDING AIR FREIGHT),2006-07,281.8,62.29
